<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TLTP.US,D,20241030,000000,25.34,25.34,25.1366,25.1366,2951,0
TLTP.US,D,20241031,000000,25.1,25.2524,25.1,25.1912,4537,0
TLTP.US,D,20241101,000000,25.21,25.21,24.92,24.9299,4884,0
TLTP.US,D,20241104,000000,25.23,25.23,25.14,25.14,1588,0
TLTP.US,D,20241105,000000,25.14,25.36,25.14,25.36,1003,0
TLTP.US,D,20241106,000000,24.7,24.7912,24.68,24.7292,2903,0
TLTP.US,D,20241107,000000,24.93,25.0083,24.93,25.0083,2570,0
TLTP.US,D,20241108,000000,25.222,25.34,25.1741,25.34,1448,0
TLTP.US,D,20241111,000000,25.3,25.3,25.22,25.2475,4162,0
TLTP.US,D,20241112,000000,25.03,25.13,24.9089,24.91,5203,0
TLTP.US,D,20241113,000000,24.91,24.91,24.7024,24.7024,1054,0
TLTP.US,D,20241114,000000,24.8,24.8765,24.8,24.84,1833,0
TLTP.US,D,20241115,000000,24.66,24.85,24.66,24.7301,1397,0
TLTP.US,D,20241118,000000,24.69,24.81,24.69,24.7535,3108,0
TLTP.US,D,20241119,000000,24.905,24.92,24.8728,24.8728,493,0
TLTP.US,D,20241120,000000,24.84,24.88,24.8177,24.8177,1719,0
TLTP.US,D,20241121,000000,24.86,24.86,24.76,24.7999,1895,0
TLTP.US,D,20241122,000000,24.88,24.91,24.87,24.87,1114,0
TLTP.US,D,20241125,000000,25.29,25.29,25.29,25.29,1825,0
TLTP.US,D,20241126,000000,25.2,25.28,25.17,25.26,3272,0
TLTP.US,D,20241127,000000,25.08,25.14,24.9999,24.9999,7789,0
TLTP.US,D,20241129,000000,25.21,25.22,25.09,25.1762,4016,0
TLTP.US,D,20241202,000000,25.14,25.3191,25.14,25.23,6916,0
TLTP.US,D,20241203,000000,25.2,25.2,25.01,25.0831,4039,0
TLTP.US,D,20241204,000000,25.01,25.302,25.01,25.302,2346,0
TLTP.US,D,20241205,000000,25.29,25.3804,25.26,25.3804,1079,0
TLTP.US,D,20241206,000000,25.31,25.3953,25.3,25.3953,1036,0
TLTP.US,D,20241209,000000,25.2273,25.259,25.2273,25.259,684,0
TLTP.US,D,20241210,000000,25.125,25.15,25.1001,25.148,2393,0
TLTP.US,D,20241211,000000,25.14,25.14,24.8902,24.8902,18434,0
TLTP.US,D,20241212,000000,24.76,24.7899,24.6103,24.6103,3115,0
TLTP.US,D,20241213,000000,24.4285,24.49,24.3511,24.3511,695,0
TLTP.US,D,20241216,000000,24.44,24.44,24.3403,24.4025,6190,0
TLTP.US,D,20241217,000000,24.52,24.53,24.4699,24.4699,2144,0
TLTP.US,D,20241218,000000,24.45,24.45,24.25,24.3,1539,0
TLTP.US,D,20241219,000000,23.93,24,23.82,23.905,3848,0
TLTP.US,D,20241220,000000,23.984,24.12,23.984,24.06,2797,0
TLTP.US,D,20241223,000000,24.108,24.11,23.8148,23.8148,4304,0
TLTP.US,D,20241224,000000,23.76,23.8725,23.7,23.8725,1429,0
TLTP.US,D,20241226,000000,23.8928,23.9052,23.81,23.9052,497,0
TLTP.US,D,20241227,000000,23.9,23.9,23.7253,23.7253,970,0
TLTP.US,D,20241230,000000,23.75,23.75,23.67,23.6807,2688,0
TLTP.US,D,20241231,000000,23.76,23.76,23.58,23.5864,3570,0
TLTP.US,D,20250102,000000,23.5883,23.69,23.52,23.5866,11844,0
TLTP.US,D,20250103,000000,23.66,23.66,23.475,23.475,12927,0
TLTP.US,D,20250106,000000,23.45,23.558,23.45,23.4617,3232,0
TLTP.US,D,20250107,000000,23.22,23.2453,23.2,23.2453,780,0
TLTP.US,D,20250108,000000,23.09,23.2558,23.09,23.2558,1147,0
TLTP.US,D,20250110,000000,23.05,23.11,23.05,23.11,1817,0
