<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TRSY.US,D,20241021,000000,30.045,30.045,30.045,30.045,2,0
TRSY.US,D,20241024,000000,30.055,30.055,30.055,30.055,2,0
TRSY.US,D,20241025,000000,30.065,30.065,30.065,30.065,9,0
TRSY.US,D,20241028,000000,30.07,30.07,30.07,30.07,9,0
TRSY.US,D,20241029,000000,30.08,30.08,30.08,30.08,8,0
TRSY.US,D,20241030,000000,30.09,30.09,30.085,30.085,102,0
TRSY.US,D,20241031,000000,30.09,30.09,30.09,30.09,2,0
TRSY.US,D,20241101,000000,30.1,30.1,30.1,30.1,103,0
TRSY.US,D,20241104,000000,30.1,30.1,30.1,30.1,3,0
TRSY.US,D,20241105,000000,30.1,30.1,30.1,30.1,3,0
TRSY.US,D,20241106,000000,30.1,30.1,30.1,30.1,2,0
TRSY.US,D,20241107,000000,30.11,30.11,30.11,30.11,3,0
TRSY.US,D,20241108,000000,30.12,30.12,30.12,30.12,1,0
TRSY.US,D,20241213,000000,30.145,30.16,30.145,30.15,3105,0
TRSY.US,D,20241217,000000,30.16,30.16,30.149,30.16,1100,0
TRSY.US,D,20241218,000000,30.16,30.16,30.15,30.15,1036,0
TRSY.US,D,20241223,000000,29.994,30,29.994,30,737,0
TRSY.US,D,20241230,000000,30.0294,30.03,30.02,30.02,403,0
TRSY.US,D,20250108,000000,30.06,30.06,30.06,30.06,202,0
