<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
UPSD.US,D,20241122,000000,25.29,25.3,25.2897,25.299,3125,0
UPSD.US,D,20241125,000000,25.28,25.56,25.2794,25.3257,3243,0
UPSD.US,D,20241126,000000,25.4,25.5311,25.4,25.5311,1285,0
UPSD.US,D,20241127,000000,25.56,25.56,25.4434,25.4434,2147,0
UPSD.US,D,20241129,000000,25.5265,25.6,25.5176,25.554,2654,0
UPSD.US,D,20241202,000000,25.56,25.56,25.47,25.4848,241118,0
UPSD.US,D,20241203,000000,25.46,25.5,25.41,25.4888,86021,0
UPSD.US,D,20241204,000000,25.49,25.6042,25.49,25.6042,6392,0
UPSD.US,D,20241205,000000,25.6,25.6154,25.6,25.6,4992,0
UPSD.US,D,20241206,000000,25.63,25.63,25.5301,25.5301,26704,0
UPSD.US,D,20241209,000000,25.6,25.6,25.2976,25.2976,810,0
UPSD.US,D,20241210,000000,25.27,25.32,25.2011,25.2011,41057,0
UPSD.US,D,20241211,000000,25.32,25.35,25.2654,25.2654,3619,0
UPSD.US,D,20241212,000000,25.2279,25.2476,25.1866,25.1866,3265,0
UPSD.US,D,20241213,000000,25.08,25.1,25.08,25.0841,1032,0
UPSD.US,D,20241216,000000,25.15,25.29,25.0243,25.0243,8086,0
UPSD.US,D,20241217,000000,24.9,24.9275,24.9,24.9275,96562,0
UPSD.US,D,20241218,000000,24.87,25.14,24.476,24.476,199707,0
UPSD.US,D,20241219,000000,24.52,24.58,24.3579,24.3579,6835,0
UPSD.US,D,20241220,000000,24.669,24.6899,24.56,24.588,15294,0
UPSD.US,D,20241223,000000,24.658,24.7,24.658,24.6584,11772,0
UPSD.US,D,20241224,000000,24.64,24.7866,24.64,24.7866,2993,0
UPSD.US,D,20241226,000000,24.8488,24.85,24.82,24.8236,3019,0
UPSD.US,D,20241227,000000,24.42,24.48,24.27,24.48,7871,0
UPSD.US,D,20241230,000000,23.82,24.28,23.82,24.16,189033,0
UPSD.US,D,20241231,000000,24.09,24.09,23.89,23.9036,18804,0
UPSD.US,D,20250102,000000,24.09,24.09,23.67,23.8746,17700,0
UPSD.US,D,20250103,000000,24.07,24.29,23.93,24.2389,2428,0
UPSD.US,D,20250106,000000,24.45,24.54,24.2617,24.2617,47824,0
UPSD.US,D,20250107,000000,24.38,24.39,23.915,23.9684,61775,0
UPSD.US,D,20250108,000000,23.87,24.08,23.87,24.072,39212,0
UPSD.US,D,20250110,000000,23.48,23.695,23.4499,23.475,12087,0
