<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
VG.US,D,20250124,000000,24.05,25.5,23.76,24,36849647,0
VG.US,D,20250127,000000,23.28,23.59,18.9,19.93,27703243,0
VG.US,D,20250128,000000,20.2,20.3,18,20,11469179,0
VG.US,D,20250129,000000,20.14,20.35,19.62,19.95,4268543,0
VG.US,D,20250130,000000,20.25,22.14,20.02,20.38,13507494,0
VG.US,D,20250131,000000,20.66,20.9499,20.09,20.45,2877831,0
VG.US,D,20250203,000000,20.28,21.71,20.2,21.44,6271734,0
VG.US,D,20250204,000000,21.45,21.5,20.28,20.45,4508125,0
VG.US,D,20250205,000000,20.525,20.59,19.4,19.68,4905297,0
VG.US,D,20250206,000000,19.755,19.95,16.69,17.48,18900760,0
VG.US,D,20250207,000000,17.52,17.6,16,17.54,11350890,0
VG.US,D,20250210,000000,17.66,17.7961,16.88,17.21,3678855,0
VG.US,D,20250211,000000,17.06,17.9,16.5,16.5,3994681,0
