<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
VSDM.US,D,20241122,000000,75.22,75.22,75.12,75.17,7349,0
VSDM.US,D,20241125,000000,75.23,75.47,75.202,75.22,21722,0
VSDM.US,D,20241126,000000,75.305,75.7,75.255,75.265,34709,0
VSDM.US,D,20241127,000000,75.325,75.54,75.29,75.35,36960,0
VSDM.US,D,20241129,000000,75.425,75.46,75.4,75.43,10697,0
VSDM.US,D,20241202,000000,75.555,76.56,75.43,75.48,11166,0
VSDM.US,D,20241203,000000,75.53,75.53,75.45,75.4851,9140,0
VSDM.US,D,20241204,000000,75.46,75.5591,75.44,75.535,7626,0
VSDM.US,D,20241205,000000,75.505,75.53,75.47,75.5099,6775,0
VSDM.US,D,20241206,000000,75.575,75.585,75.5638,75.585,5523,0
VSDM.US,D,20241209,000000,75.565,75.5884,75.565,75.57,4608,0
VSDM.US,D,20241210,000000,75.58,75.61,75.52,75.52,9365,0
VSDM.US,D,20241211,000000,75.52,75.525,75.52,75.525,762,0
VSDM.US,D,20241212,000000,75.53,75.53,75.4,75.4,14469,0
VSDM.US,D,20241213,000000,75.39,75.45,75.282,75.282,18506,0
VSDM.US,D,20241216,000000,75.305,75.32,75.3,75.305,2663,0
VSDM.US,D,20241217,000000,75.3,75.38,75.26,75.2602,11773,0
VSDM.US,D,20241218,000000,75.24,75.26,75.12,75.12,3157,0
VSDM.US,D,20241219,000000,75.1,75.105,74.835,74.8643,11041,0
VSDM.US,D,20241220,000000,74.97,74.97,74.94,74.97,1553,0
VSDM.US,D,20241223,000000,74.89,75.14,74.89,74.96,24248,0
VSDM.US,D,20241224,000000,74.71,74.71,74.67,74.7088,2074,0
VSDM.US,D,20241226,000000,74.72,74.73,74.695,74.725,4863,0
VSDM.US,D,20241227,000000,74.75,74.97,74.6686,74.6885,14929,0
VSDM.US,D,20241230,000000,74.74,74.85,74.74,74.81,7642,0
VSDM.US,D,20241231,000000,74.8493,74.8496,74.81,74.8101,4667,0
VSDM.US,D,20250102,000000,74.91,74.93,74.81,74.81,9678,0
VSDM.US,D,20250103,000000,74.9,75.09,74.87,74.89,46266,0
VSDM.US,D,20250106,000000,74.97,74.99,74.93,74.985,5748,0
VSDM.US,D,20250107,000000,74.965,74.99,74.93,74.9593,14480,0
VSDM.US,D,20250108,000000,74.92,74.92,74.842,74.865,11532,0
VSDM.US,D,20250110,000000,74.775,74.775,74.765,74.775,13734,0
