<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WEL-U.US,D,20240627,000000,11.72,11.85,11.5,11.51,3917,0
WEL-U.US,D,20240718,000000,11.71,11.71,11.6,11.6,202,0
WEL-U.US,D,20240723,000000,11.8002,11.8002,11.6,11.6,300,0
WEL-U.US,D,20240726,000000,11.63,11.63,11.63,11.63,250,0
WEL-U.US,D,20240816,000000,11.75,11.75,11.64,11.64,200,0
WEL-U.US,D,20240826,000000,11.65,11.65,11.6,11.6,3500,0
WEL-U.US,D,20240828,000000,11.61,11.61,11.61,11.61,200,0
WEL-U.US,D,20240910,000000,11.69,11.69,11.69,11.69,100,0
WEL-U.US,D,20241016,000000,11.65,12.09,11.64,12,3245,0
WEL-U.US,D,20241017,000000,11.89,12.5,11.81,11.81,7914,0
WEL-U.US,D,20241018,000000,12.95,13.95,11.8,11.81,9482,0
WEL-U.US,D,20241021,000000,11.81,11.81,11.81,11.81,853,0
