<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WSO-B.US,D,20231219,000000,422.2,422.2,422.2,422.2,115,0
WSO-B.US,D,20240103,000000,412.6,412.6,412.6,412.6,152,0
WSO-B.US,D,20240124,000000,391.55,391.55,390.85,390.85,577,0
WSO-B.US,D,20240326,000000,429.35,429.35,429.35,429.35,161,0
WSO-B.US,D,20240403,000000,424.75,424.75,424.75,424.75,171,0
WSO-B.US,D,20240424,000000,445.15,445.15,445.15,445.15,315,0
WSO-B.US,D,20240725,000000,486.69,491.75,486.69,491.75,263,0
WSO-B.US,D,20240805,000000,456.19,458.55,456.19,458.55,765,0
WSO-B.US,D,20240814,000000,474.99,475,474.99,475,1205,0
WSO-B.US,D,20240823,000000,485.1,485.1,485.1,485.1,236,0
WSO-B.US,D,20240909,000000,457.28,457.28,455.9,455.9,686,0
WSO-B.US,D,20240913,000000,485,485,485,485,206,0
WSO-B.US,D,20240918,000000,491.9,491.9,490.71,491.3566,2593,0
WSO-B.US,D,20240920,000000,495,495,495,495,307,0
WSO-B.US,D,20241031,000000,470.9,470.9,470.9,470.9,126,0
WSO-B.US,D,20241107,000000,518.97,518.97,518.97,518.97,222,0
WSO-B.US,D,20241115,000000,519.59,519.7,519.59,519.7,1251,0
WSO-B.US,D,20241121,000000,535,535,535,535,208,0
WSO-B.US,D,20250106,000000,475.15,475.15,469.95,469.95,434,0
