<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
YGLD.US,D,20241205,000000,24.72,24.85,24.6639,24.6639,45701,0
YGLD.US,D,20241209,000000,25.4,25.4,25.0754,25.0754,1670,0
YGLD.US,D,20241210,000000,25.63,25.69,25.6215,25.6415,38067,0
YGLD.US,D,20241211,000000,25.9199,26.23,25.872,26.1518,30609,0
YGLD.US,D,20241212,000000,25.5,26,25.4542,25.4542,5435,0
YGLD.US,D,20241213,000000,25.14,25.14,24.9185,24.9185,6719,0
YGLD.US,D,20241216,000000,25.0269,25.08,24.9985,24.9985,9135,0
YGLD.US,D,20241217,000000,24.715,24.86,24.715,24.8414,1773,0
YGLD.US,D,20241218,000000,24.7699,24.7699,23.43,23.4495,935,0
YGLD.US,D,20241219,000000,23.55,23.55,23.3,23.3927,5615,0
YGLD.US,D,20241220,000000,23.86,24.2,23.86,24.0505,2414,0
YGLD.US,D,20241223,000000,23.87,23.93,23.68,23.8641,271091,0
YGLD.US,D,20241224,000000,23.92,24.13,23.8972,24.0846,6137,0
YGLD.US,D,20241226,000000,24.2836,25.78,24.28,24.3899,2460,0
YGLD.US,D,20241227,000000,24.28,24.28,23.91,23.923,4790,0
YGLD.US,D,20241230,000000,23.76,23.89,23.614,23.7821,1825,0
YGLD.US,D,20241231,000000,23.83,23.99,23.83,23.9539,6156,0
YGLD.US,D,20250102,000000,24.37,24.47,24.3,24.429,43839,0
YGLD.US,D,20250103,000000,24.27,24.3699,24.2538,24.2538,3178,0
YGLD.US,D,20250106,000000,24.22,25.03,24.2,24.245,7636,0
YGLD.US,D,20250107,000000,24.46,24.48,24.33,24.4126,4056,0
YGLD.US,D,20250108,000000,24.55,24.68,24.3,24.5958,3542,0
YGLD.US,D,20250110,000000,25.03,25.36,24.9292,25.08,16104,0
