<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ZDEK.US,D,20241203,000000,23.96,24.08,23.94,23.9657,320876,0
ZDEK.US,D,20241204,000000,23.97,24.02,23.96,24.0194,613738,0
ZDEK.US,D,20241205,000000,24,24.02,24,24.01,215861,0
ZDEK.US,D,20241206,000000,24.02,24.05,24.0015,24.04,228719,0
ZDEK.US,D,20241209,000000,24.03,24.04,23.9913,24,102243,0
ZDEK.US,D,20241210,000000,23.9921,24.01,23.97,23.98,74199,0
ZDEK.US,D,20241211,000000,24.01,24.05,23.99,24.036,123004,0
ZDEK.US,D,20241212,000000,24.03,24.04,24.0069,24.0069,225684,0
ZDEK.US,D,20241213,000000,24.015,24.04,23.9815,24,157561,0
ZDEK.US,D,20241216,000000,24.02,24.06,24.0051,24.0078,103462,0
ZDEK.US,D,20241217,000000,24.01,24.03,23.9801,24.03,320443,0
ZDEK.US,D,20241218,000000,24,24.04,23.88,23.88,128630,0
ZDEK.US,D,20241219,000000,23.91,23.9199,23.85,23.875,202069,0
ZDEK.US,D,20241220,000000,23.86,23.97,23.85,23.9271,119327,0
ZDEK.US,D,20241223,000000,23.939,23.97,23.909,23.965,109267,0
ZDEK.US,D,20241224,000000,23.989,24.02,23.9601,23.9965,91428,0
ZDEK.US,D,20241226,000000,24.02,24.03,23.9694,24.03,57688,0
ZDEK.US,D,20241227,000000,23.9659,24,23.91,23.9799,107405,0
ZDEK.US,D,20241230,000000,23.915,23.96,23.8701,23.95,171668,0
ZDEK.US,D,20241231,000000,23.95,23.95,23.88,23.88,273932,0
ZDEK.US,D,20250102,000000,23.92,23.94,23.8501,23.895,116890,0
ZDEK.US,D,20250103,000000,23.939,23.97,23.8985,23.96,44972,0
ZDEK.US,D,20250106,000000,23.9801,24.04,23.97,23.99,115279,0
ZDEK.US,D,20250107,000000,24.02,24.03,23.92,23.92,26379,0
ZDEK.US,D,20250108,000000,23.92,23.959,23.9,23.9201,31655,0
ZDEK.US,D,20250110,000000,23.92,23.92,23.8223,23.85,202026,0
