<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BDL.US,D,20050225,000000,7.3415,7.3506,7.3053,7.3415,2876,0
BDL.US,D,20050228,000000,7.3868,7.3868,7.1696,7.1696,3760,0
BDL.US,D,20050301,000000,7.242,7.3958,7.2331,7.3868,15706,0
BDL.US,D,20050302,000000,7.4138,7.7303,7.4138,7.7303,1437,0
BDL.US,D,20050303,000000,7.6942,8.3722,7.6942,8.3722,6636,0
BDL.US,D,20050304,000000,8.4084,8.4084,8.137,8.2548,11504,0
BDL.US,D,20050307,000000,8.2185,8.2456,8.1642,8.2456,2323,0
BDL.US,D,20050308,000000,8.2276,8.4536,8.2276,8.2727,11834,0
BDL.US,D,20050309,000000,8.137,8.137,8.137,8.137,664,0
BDL.US,D,20050310,000000,8.101,8.2276,8.0468,8.0921,6526,0
BDL.US,D,20050311,000000,8.0016,8.0016,7.9563,7.9563,664,0
BDL.US,D,20050314,000000,7.9473,7.9473,7.6851,7.6851,553,0
BDL.US,D,20050316,000000,7.7664,7.7664,7.6128,7.6128,3318,0
BDL.US,D,20050317,000000,7.5947,7.5947,7.5585,7.5856,1660,0
BDL.US,D,20050318,000000,7.5043,7.5043,7.3235,7.3235,4977,0
BDL.US,D,20050321,000000,7.2331,7.2331,7.2331,7.2331,221,0
BDL.US,D,20050322,000000,7.2782,7.2782,7.2782,7.2782,221,0
BDL.US,D,20050323,000000,7.3326,7.3326,7.3326,7.3326,553,0
BDL.US,D,20050329,000000,7.26,7.3053,7.1878,7.3053,2323,0
BDL.US,D,20050330,000000,7.1427,7.1427,7.1427,7.1427,221,0
BDL.US,D,20050331,000000,7.215,7.215,7.215,7.215,221,0
BDL.US,D,20050405,000000,7.1696,7.1696,7.1696,7.1696,110,0
BDL.US,D,20050407,000000,7.0793,7.0793,7.0793,7.0793,553,0
BDL.US,D,20050408,000000,7.1427,7.1427,7.1427,7.1427,443,0
BDL.US,D,20050413,000000,7.2963,7.3053,7.2963,7.3053,3871,0
BDL.US,D,20050414,000000,7.4049,7.459,7.4049,7.459,1107,0
BDL.US,D,20050415,000000,7.3235,7.3235,7.2331,7.2782,884,0
BDL.US,D,20050419,000000,7.1878,7.1878,7.0522,7.0522,1990,0
BDL.US,D,20050420,000000,6.9708,6.9708,6.9708,6.9708,221,0
BDL.US,D,20050421,000000,6.9708,6.9708,6.9256,6.9256,1216,0
BDL.US,D,20050422,000000,6.9256,6.9256,6.9256,6.9256,110,0
BDL.US,D,20050426,000000,6.9256,6.9256,6.8714,6.8714,664,0
BDL.US,D,20050427,000000,6.8714,6.8804,6.8714,6.8804,996,0
BDL.US,D,20050429,000000,6.8714,6.8714,6.8533,6.8533,664,0
BDL.US,D,20050502,000000,6.8172,6.8172,6.8172,6.8172,110,0
BDL.US,D,20050503,000000,6.8262,6.8262,6.781,6.8262,884,0
BDL.US,D,20050504,000000,6.781,6.781,6.781,6.781,110,0
BDL.US,D,20050509,000000,6.6906,6.6906,6.4736,6.4736,2212,0
BDL.US,D,20050511,000000,6.6182,6.6182,6.6001,6.6001,2102,0
BDL.US,D,20050512,000000,6.6091,6.6363,6.6091,6.6363,332,0
BDL.US,D,20050513,000000,6.7358,6.7719,6.7358,6.7719,996,0
BDL.US,D,20050517,000000,6.6814,6.6814,6.6453,6.6453,443,0
BDL.US,D,20050519,000000,6.7267,6.7267,6.7267,6.7267,553,0
BDL.US,D,20050524,000000,6.8172,6.8172,6.7358,6.7358,443,0
BDL.US,D,20050602,000000,6.6996,6.6996,6.6996,6.6996,110,0
BDL.US,D,20050607,000000,6.781,6.781,6.781,6.781,110,0
BDL.US,D,20050608,000000,6.8353,6.9166,6.8353,6.9166,553,0
BDL.US,D,20050609,000000,6.9528,6.9528,6.9528,6.9528,996,0
BDL.US,D,20050610,000000,6.9889,7.3235,6.9889,7.3235,3206,0
BDL.US,D,20050613,000000,7.26,7.4049,7.26,7.4049,2545,0
BDL.US,D,20050614,000000,7.3868,7.8932,7.3868,7.5495,20130,0
BDL.US,D,20050615,000000,7.5767,7.658,7.5767,7.6488,553,0
BDL.US,D,20050616,000000,7.7122,7.9112,7.7122,7.9112,3541,0
BDL.US,D,20050617,000000,8.0287,8.0287,8.0287,8.0287,110,0
BDL.US,D,20050620,000000,8.0921,8.1733,8.0921,8.1733,1326,0
BDL.US,D,20050621,000000,8.0468,8.0468,8.0468,8.0468,332,0
BDL.US,D,20050622,000000,8.0106,8.0106,8.0106,8.0106,443,0
BDL.US,D,20050627,000000,8.101,8.101,8.101,8.101,110,0
BDL.US,D,20050628,000000,8.0738,8.1552,8.0649,8.1552,1437,0
BDL.US,D,20050629,000000,8.1824,8.1824,8.1824,8.1824,110,0
BDL.US,D,20050630,000000,8.1824,8.4084,8.137,8.3451,4092,0
BDL.US,D,20050701,000000,8.4355,8.4988,8.4355,8.4988,664,0
BDL.US,D,20050705,000000,8.4988,8.5803,8.4988,8.5803,1107,0
BDL.US,D,20050706,000000,8.4988,8.5892,8.3904,8.5622,3318,0
BDL.US,D,20050707,000000,8.4988,8.5259,8.4988,8.5259,1107,0
BDL.US,D,20050708,000000,8.5259,8.5259,8.4626,8.4626,221,0
BDL.US,D,20050711,000000,8.4988,8.6794,8.4988,8.6794,15153,0
BDL.US,D,20050712,000000,8.643,8.643,8.553,8.553,4092,0
BDL.US,D,20050714,000000,8.553,8.6074,8.5441,8.5441,2876,0
