<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BRIA.US,D,20241127,000000,3.88,4.34,3.21,4,456052,0
BRIA.US,D,20241129,000000,4,4.0499,3.86,3.94,45028,0
BRIA.US,D,20241202,000000,3.9,3.9737,3.81,3.81,22596,0
BRIA.US,D,20241203,000000,3.78,3.85,3.77,3.77,35524,0
BRIA.US,D,20241204,000000,3.78,3.98,3.76,3.9,14498,0
BRIA.US,D,20241205,000000,3.9083,4.1323,3.71,4.01,113209,0
BRIA.US,D,20241206,000000,4.18,4.18,3.58,3.89,70550,0
BRIA.US,D,20241209,000000,3.8799,3.88,3.81,3.81,11391,0
BRIA.US,D,20241210,000000,3.85,4.04,3.81,3.93,61774,0
BRIA.US,D,20241211,000000,3.96,4.02,3.6,3.95,67190,0
BRIA.US,D,20241212,000000,4.04,4.04,3.8,3.88,36000,0
BRIA.US,D,20241213,000000,3.82,4.06,3.8,3.9,60204,0
BRIA.US,D,20241216,000000,3.945,4.02,3.85,3.85,2505,0
BRIA.US,D,20241217,000000,3.9,3.9,3.86,3.86,1089,0
BRIA.US,D,20241218,000000,3.7623,4,3.7623,4,4028,0
BRIA.US,D,20241219,000000,4,4.15,3.82,4,111576,0
BRIA.US,D,20241220,000000,3.95,4.07,3.87,4.01,17188,0
BRIA.US,D,20241223,000000,3.91,4.02,3.8,4,22141,0
BRIA.US,D,20241224,000000,4.05,4.17,4.0046,4.15,16209,0
BRIA.US,D,20241226,000000,4,4.05,3.74,4.02,26863,0
BRIA.US,D,20241227,000000,3.95,4,3.9,3.99,2144,0
BRIA.US,D,20241230,000000,3.9812,4.38,3.6712,4.25,39333,0
BRIA.US,D,20241231,000000,4.24,4.36,3.81,3.81,29897,0
BRIA.US,D,20250102,000000,3.89,4.15,3.76,3.93,31045,0
BRIA.US,D,20250103,000000,3.85,4.04,3.67,3.97,39286,0
BRIA.US,D,20250106,000000,3.98,4.06,3.75,3.9911,26715,0
BRIA.US,D,20250107,000000,4,4.15,3.95,3.95,34321,0
BRIA.US,D,20250108,000000,3.96,4,3.95,3.96,8165,0
BRIA.US,D,20250110,000000,4,4.08,3.98,3.99,31890,0
