<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CLDI-WS.US,D,20230914,000000,0.175,0.18,0.1506,0.1513,36689,0
CLDI-WS.US,D,20230915,000000,0.17,0.211,0.17,0.17,43688,0
CLDI-WS.US,D,20230918,000000,0.15,0.17,0.15,0.151,15000,0
CLDI-WS.US,D,20230919,000000,0.15,0.16,0.15,0.155,77935,0
CLDI-WS.US,D,20230920,000000,0.15,0.15,0.1287,0.14,125088,0
CLDI-WS.US,D,20230921,000000,0.11,0.15,0.11,0.15,32369,0
CLDI-WS.US,D,20230926,000000,0.1485,0.15,0.1485,0.15,10500,0
CLDI-WS.US,D,20230928,000000,0.1782,0.1801,0.1782,0.18,78779,0
CLDI-WS.US,D,20230929,000000,0.18,0.2201,0.18,0.22,75800,0
CLDI-WS.US,D,20231005,000000,0.2,0.205,0.198,0.2,171036,0
CLDI-WS.US,D,20231013,000000,0.18,0.18,0.18,0.18,100,0
CLDI-WS.US,D,20231017,000000,0.1606,0.1622,0.1606,0.1622,3200,0
CLDI-WS.US,D,20231019,000000,0.15,0.15,0.11,0.11,8559,0
CLDI-WS.US,D,20231023,000000,0.11,0.11,0.08,0.08,71355,0
CLDI-WS.US,D,20231025,000000,0.11,0.13,0.11,0.1257,1152,0
CLDI-WS.US,D,20231027,000000,0.15,0.2075,0.1187,0.183,3780,0
CLDI-WS.US,D,20231106,000000,0.14,0.14,0.14,0.14,169,0
CLDI-WS.US,D,20231107,000000,0.13,0.13,0.13,0.13,1047,0
CLDI-WS.US,D,20231109,000000,0.12,0.12,0.12,0.12,5304,0
CLDI-WS.US,D,20231114,000000,0.13,0.14,0.1287,0.14,281961,0
CLDI-WS.US,D,20231115,000000,0.12,0.165,0.12,0.1649,6013,0
CLDI-WS.US,D,20231116,000000,0.12,0.16,0.12,0.16,645,0
CLDI-WS.US,D,20231121,000000,0.1868,0.1868,0.12,0.12,106791,0
CLDI-WS.US,D,20231122,000000,0.13,0.13,0.051,0.09,49496,0
CLDI-WS.US,D,20231128,000000,0.06,0.06,0.03,0.041,98597,0
CLDI-WS.US,D,20231129,000000,0.06,0.1,0.06,0.08,37627,0
CLDI-WS.US,D,20231130,000000,0.0792,0.0792,0.02,0.02,200,0
CLDI-WS.US,D,20231204,000000,0.0425,0.0816,0.0425,0.0816,400,0
CLDI-WS.US,D,20231205,000000,0.0799,0.1199,0.0719,0.1187,4000,0
CLDI-WS.US,D,20231206,000000,0.1588,0.1775,0.0494,0.0642,1607,0
CLDI-WS.US,D,20231208,000000,0.0425,0.0425,0.0425,0.0425,113,0
CLDI-WS.US,D,20231211,000000,0.1625,0.1625,0.08,0.08,300,0
CLDI-WS.US,D,20231212,000000,0.09,0.1609,0.09,0.16,1814,0
CLDI-WS.US,D,20231213,000000,0.1625,0.1625,0.1625,0.1625,100,0
CLDI-WS.US,D,20231218,000000,0.149,0.149,0.0525,0.0525,1287,0
CLDI-WS.US,D,20231221,000000,0.05,0.0961,0.05,0.05,2346,0
CLDI-WS.US,D,20240105,000000,0.08,0.089,0.04,0.0401,7149,0
CLDI-WS.US,D,20240116,000000,0.0405,0.0405,0.0405,0.0405,151,0
CLDI-WS.US,D,20240122,000000,0.0405,0.055,0.04,0.04,8335,0
CLDI-WS.US,D,20240226,000000,0.0775,0.0775,0.0775,0.0775,210,0
CLDI-WS.US,D,20240227,000000,0.0775,0.0775,0.0775,0.0775,1133,0
CLDI-WS.US,D,20240307,000000,0.0405,0.0405,0.0405,0.0405,1201,0
CLDI-WS.US,D,20240318,000000,0.0593,0.0593,0.0506,0.0506,200,0
CLDI-WS.US,D,20240320,000000,0.0437,0.1627,0.0419,0.0868,49675,0
CLDI-WS.US,D,20240322,000000,0.0859,0.095,0.048,0.055,38108,0
CLDI-WS.US,D,20240325,000000,0.0439,0.0932,0.0421,0.075,10654,0
CLDI-WS.US,D,20240327,000000,0.0899,0.0947,0.0424,0.085,32302,0
CLDI-WS.US,D,20240328,000000,0.0439,0.052,0.0439,0.052,3697,0
CLDI-WS.US,D,20240401,000000,0.0439,0.051,0.0421,0.051,6607,0
CLDI-WS.US,D,20240402,000000,0.06,0.0947,0.0421,0.083,96679,0
CLDI-WS.US,D,20240403,000000,0.1,0.1,0.1,0.1,400,0
CLDI-WS.US,D,20240404,000000,0.055,0.0866,0.0503,0.0796,24471,0
CLDI-WS.US,D,20240405,000000,0.0793,0.0793,0.0793,0.0793,1619,0
CLDI-WS.US,D,20240408,000000,0.06,0.06,0.06,0.06,1101,0
CLDI-WS.US,D,20240409,000000,0.06,0.0682,0.0556,0.0682,4722,0
CLDI-WS.US,D,20240410,000000,0.0766,0.0766,0.055,0.055,3709,0
CLDI-WS.US,D,20240411,000000,0.0809,0.0809,0.075,0.0792,3379,0
CLDI-WS.US,D,20240412,000000,0.0856,0.0856,0.0856,0.0856,222,0
CLDI-WS.US,D,20240415,000000,0.0856,0.0919,0.0856,0.088,4560,0
CLDI-WS.US,D,20240416,000000,0.0875,0.0875,0.0864,0.0864,307,0
CLDI-WS.US,D,20240417,000000,0.0792,0.081715,0.0792,0.08,6002,0
