<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CYBN.US,D,20210806,000000,2.8,2.9,2.7,2.74,848633,0
CYBN.US,D,20210809,000000,2.89,2.89,2.5,2.52,1474453,0
CYBN.US,D,20210810,000000,2.55,2.56,2.25,2.27,2340481,0
CYBN.US,D,20210811,000000,2.3,2.4,2.09,2.23,1541154,0
CYBN.US,D,20210812,000000,2.2,2.3,2.15,2.22,826753,0
CYBN.US,D,20210813,000000,2.23,2.23,2.09,2.12,762079,0
CYBN.US,D,20210816,000000,2.1,2.1,1.91,1.98,1236340,0
CYBN.US,D,20210817,000000,2,2.03,1.86,1.92,1057178,0
CYBN.US,D,20210818,000000,1.92,1.95,1.81,1.95,1131092,0
CYBN.US,D,20210819,000000,1.95,1.95,1.68,1.83,1376741,0
CYBN.US,D,20210820,000000,1.79,1.97,1.7601,1.9,697924,0
CYBN.US,D,20210823,000000,1.92,2.21,1.92,2.19,1204543,0
CYBN.US,D,20210824,000000,2.24,2.25,2.12,2.16,762001,0
CYBN.US,D,20210825,000000,2.22,2.28,2.1,2.28,605548,0
CYBN.US,D,20210826,000000,2.35,2.35,2.2,2.24,965636,0
CYBN.US,D,20210827,000000,2.29,2.3699,2.25,2.34,1143858,0
CYBN.US,D,20210830,000000,2.39,2.75,2.35,2.73,3522234,0
CYBN.US,D,20210831,000000,2.85,2.88,2.58,2.8,1418147,0
CYBN.US,D,20210901,000000,2.81,2.86,2.59,2.63,1238731,0
CYBN.US,D,20210902,000000,2.66,2.67,2.42,2.51,1356651,0
CYBN.US,D,20210903,000000,2.52,2.75,2.51,2.64,1186365,0
CYBN.US,D,20210907,000000,2.68,2.75,2.5,2.52,1360819,0
CYBN.US,D,20210908,000000,2.51,2.55,2.25,2.37,1069397,0
CYBN.US,D,20210909,000000,2.35,2.45,2.31,2.4,640099,0
CYBN.US,D,20210910,000000,2.43,2.47,2.34,2.42,473379,0
CYBN.US,D,20210913,000000,2.44,2.58,2.4,2.48,1508986,0
CYBN.US,D,20210914,000000,2.48,2.5,2.31,2.35,840257,0
CYBN.US,D,20210915,000000,2.34,2.34,2.15,2.3,1066046,0
CYBN.US,D,20210916,000000,2.3,2.31,2,2.23,1912455,0
CYBN.US,D,20210917,000000,2.23,2.27,2.02,2.16,1436779,0
CYBN.US,D,20210920,000000,2.04,2.15,1.98,2.14,1283371,0
CYBN.US,D,20210921,000000,2.14,2.19,2.02,2.09,548676,0
CYBN.US,D,20210922,000000,2.1,2.18,2.04,2.13,791954,0
CYBN.US,D,20210923,000000,2.25,2.39,2.2,2.33,1947680,0
CYBN.US,D,20210924,000000,2.43,2.43,2.27,2.32,1153680,0
CYBN.US,D,20210927,000000,2.35,2.35,2.225,2.32,758817,0
CYBN.US,D,20210928,000000,2.32,2.35,2.09,2.24,1473274,0
CYBN.US,D,20210929,000000,2.2,2.23,2.12,2.2,464030,0
