<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EONR-WS.US,D,20240920,000000,0.0303,0.0303,0.0303,0.0303,142,0
EONR-WS.US,D,20240923,000000,0.0809,0.0888,0.045,0.0451,81979,0
EONR-WS.US,D,20240925,000000,0.05,0.05,0.0495,0.05,1292,0
EONR-WS.US,D,20241001,000000,0.0888,0.1263,0.0849,0.11,45717,0
EONR-WS.US,D,20241002,000000,0.11,0.1212,0.11,0.11,30510,0
EONR-WS.US,D,20241003,000000,0.1204,0.1337,0.1139,0.1146,24150,0
EONR-WS.US,D,20241007,000000,0.11,0.11,0.1,0.1,560,0
EONR-WS.US,D,20241008,000000,0.09,0.09,0.09,0.09,140,0
EONR-WS.US,D,20241009,000000,0.0767,0.088,0.0454,0.055,48280,0
EONR-WS.US,D,20241011,000000,0.089621,0.0899,0.062,0.0899,20303,0
EONR-WS.US,D,20241016,000000,0.07,0.07,0.0584,0.068,1802,0
EONR-WS.US,D,20241018,000000,0.0724,0.0895,0.056,0.0804,26565,0
EONR-WS.US,D,20241021,000000,0.08,0.08,0.08,0.08,3099,0
EONR-WS.US,D,20241022,000000,0.08,0.08,0.08,0.08,710,0
EONR-WS.US,D,20241025,000000,0.0779,0.0779,0.068,0.068,356,0
EONR-WS.US,D,20241031,000000,0.0639,0.0799,0.056,0.056,7168,0
EONR-WS.US,D,20241104,000000,0.056,0.056,0.055,0.055,2174,0
EONR-WS.US,D,20241105,000000,0.06,0.0799,0.06,0.0799,54038,0
EONR-WS.US,D,20241106,000000,0.0688,0.0873,0.06,0.06,43836,0
EONR-WS.US,D,20241108,000000,0.051,0.0858,0.0509,0.0857,27231,0
EONR-WS.US,D,20241111,000000,0.088,0.088,0.088,0.088,899,0
EONR-WS.US,D,20241112,000000,0.090001,0.090001,0.09,0.09,597,0
EONR-WS.US,D,20241114,000000,0.097399,0.0975,0.0973,0.0973,1458,0
EONR-WS.US,D,20241119,000000,0.099,0.1,0.0975,0.0987,1863,0
EONR-WS.US,D,20241125,000000,0.0656,0.07,0.06,0.07,5776,0
EONR-WS.US,D,20241203,000000,0.0506,0.0506,0.05,0.0502,13796,0
EONR-WS.US,D,20241212,000000,0.0693,0.0693,0.0693,0.0693,250,0
EONR-WS.US,D,20241217,000000,0.041,0.041,0.04,0.04,2990,0
EONR-WS.US,D,20241218,000000,0.04,0.0454,0.04,0.045,5250,0
EONR-WS.US,D,20241219,000000,0.051149,0.051149,0.051149,0.051149,5048,0
EONR-WS.US,D,20241220,000000,0.06,0.06,0.0599,0.0599,500,0
EONR-WS.US,D,20241230,000000,0.0555,0.0849,0.0555,0.0849,28545,0
EONR-WS.US,D,20241231,000000,0.0758,0.0758,0.04,0.055,9701,0
EONR-WS.US,D,20250102,000000,0.0867,0.0899,0.055,0.0594,6850,0
EONR-WS.US,D,20250103,000000,0.06,0.06,0.0553,0.06,3128,0
EONR-WS.US,D,20250106,000000,0.0598,0.0687,0.05255,0.05255,1160,0
EONR-WS.US,D,20250107,000000,0.0606,0.0606,0.0525,0.0525,11000,0
EONR-WS.US,D,20250108,000000,0.095,0.1111,0.0581,0.0885,134419,0
EONR-WS.US,D,20250110,000000,0.09,0.0989,0.0699,0.09,29749,0
