<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EXOD.US,D,20241220,000000,49.48,49.48,38.38,41,14953,0
EXOD.US,D,20241223,000000,40,41.25,35.051,35.051,11198,0
EXOD.US,D,20241224,000000,37.3,48,35.55,43.2,14048,0
EXOD.US,D,20241226,000000,48.92,62.2786,44,47.35,53780,0
EXOD.US,D,20241227,000000,44.8,46,37.61,40.5785,28992,0
EXOD.US,D,20241230,000000,40.5,42,35.25,38.37,21082,0
EXOD.US,D,20241231,000000,36.0001,36.2,27.98,30.68,27134,0
EXOD.US,D,20250102,000000,33.5,33.5,26.69,28.72,26253,0
EXOD.US,D,20250103,000000,28.228,34.3156,28.228,32.71,32552,0
EXOD.US,D,20250106,000000,35,40,35,39.7,69498,0
EXOD.US,D,20250107,000000,40,44.3656,38.53,39.31,33209,0
EXOD.US,D,20250108,000000,42.2,42.2,33,37.7789,31773,0
EXOD.US,D,20250110,000000,37.79,38.1328,34.75,37.77,13362,0
