<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FAX.US,D,20050225,000000,2.52893,2.53238,2.50927,2.53238,1711101.1732057,0
FAX.US,D,20050228,000000,2.521,2.54802,2.51728,2.54802,1144433.4634375,0
FAX.US,D,20050301,000000,2.53639,2.56331,2.53639,2.54401,2099325.6006178,0
FAX.US,D,20050302,000000,2.54028,2.55176,2.53238,2.54401,821150.08444402,0
FAX.US,D,20050303,000000,2.55176,2.55176,2.53639,2.54802,970897.48670461,0
FAX.US,D,20050304,000000,2.55176,2.55576,2.53238,2.55576,1385750.9954739,0
FAX.US,D,20050307,000000,2.55576,2.55922,2.53639,2.55176,1105136.3866973,0
FAX.US,D,20050308,000000,2.55176,2.5675,2.54802,2.56331,1375403.0514268,0
FAX.US,D,20050309,000000,2.56331,2.5675,2.54401,2.55576,2652254.3569862,0
FAX.US,D,20050310,000000,2.55576,2.56331,2.50553,2.52474,2435270.5363688,0
FAX.US,D,20050311,000000,2.52893,2.55176,2.52474,2.54802,1096078.3139293,0
FAX.US,D,20050314,000000,2.54802,2.55576,2.52893,2.55576,1396867.2821466,0
FAX.US,D,20050315,000000,2.55576,2.55922,2.52893,2.53639,955648.67565934,0
FAX.US,D,20050316,000000,2.53238,2.53639,2.5019,2.51318,1536250.6437966,0
FAX.US,D,20050317,000000,2.50927,2.53639,2.50927,2.51318,1205739.9078441,0
FAX.US,D,20050318,000000,2.52474,2.52893,2.5019,2.521,1014092.077992,0
FAX.US,D,20050321,000000,2.50553,2.51318,2.4896,2.5019,1543251.5757641,0
FAX.US,D,20050322,000000,2.48596,2.5019,2.47058,2.47058,2006972.1047572,0
FAX.US,D,20050323,000000,2.3897,2.40499,2.31599,2.33929,7886951.2024605,0
FAX.US,D,20050324,000000,2.33146,2.39316,2.32399,2.38551,4247243.5067777,0
FAX.US,D,20050328,000000,2.38551,2.38551,2.32764,2.34692,2007491.4872024,0
