<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GORO.US,D,20060914,000000,0.909472,0.909472,0.869554,0.869554,94623.451271277,0
GORO.US,D,20060918,000000,0.829733,0.869554,0.790208,0.869554,45112.303768877,0
GORO.US,D,20060919,000000,0.869554,0.869554,0.869554,0.869554,630.58569127953,0
GORO.US,D,20060920,000000,0.869554,0.869554,0.750191,0.750191,10902.012943267,0
GORO.US,D,20060922,000000,0.829733,0.869554,0.710273,0.710273,20174.673826163,0
GORO.US,D,20060925,000000,0.790208,0.790208,0.790208,0.790208,6273.3105545357,0
GORO.US,D,20060926,000000,0.829733,0.869554,0.790208,0.869554,31964.592105698,0
GORO.US,D,20060929,000000,0.869554,0.869554,0.710273,0.710273,43869.439712839,0
GORO.US,D,20061002,000000,0.853331,0.869554,0.853331,0.869554,2510.1378807708,0
GORO.US,D,20061003,000000,0.853331,0.869554,0.853331,0.853331,8150.8285966358,0
GORO.US,D,20061005,000000,0.853331,0.853331,0.829733,0.829733,26312.713579182,0
GORO.US,D,20061006,000000,0.829733,0.829733,0.790208,0.790208,22558.694568677,0
GORO.US,D,20061013,000000,0.829733,0.957453,0.790208,0.829733,30084.022842512,0
GORO.US,D,20061016,000000,0.869554,1.06904,0.869554,1.02942,66572.558746294,0
GORO.US,D,20061017,000000,0.989404,0.989404,0.949489,0.989404,158497.71350311,0
GORO.US,D,20061018,000000,0.989404,0.989404,0.869554,0.949489,163814.97478377,0
GORO.US,D,20061019,000000,0.949489,0.965515,0.949489,0.965515,10289.734578508,0
GORO.US,D,20061020,000000,0.869554,0.957453,0.869554,0.901704,354693.26353409,0
GORO.US,D,20061023,000000,0.965515,0.981738,0.94123,0.981738,150885.93396515,0
GORO.US,D,20061024,000000,0.981738,0.981738,0.916747,0.916747,7268.0086288445,0
GORO.US,D,20061025,000000,0.989404,1.01329,0.989404,0.989404,34964.959507754,0
GORO.US,D,20061026,000000,1.01329,1.01329,0.925399,0.925399,51576.824178188,0
GORO.US,D,20061027,000000,1.02942,1.02942,1.02942,1.02942,61473.96831019,0
GORO.US,D,20061030,000000,1.02942,1.02942,1.02942,1.02942,7646.3600436122,0
GORO.US,D,20061031,000000,1.02942,1.03748,1.02942,1.02942,19243.034320982,0
GORO.US,D,20061101,000000,1.02942,1.06904,1.00523,1.00523,44994.323220186,0
GORO.US,D,20061102,000000,1.02107,1.02942,1.01329,1.02942,56402.838863868,0
GORO.US,D,20061103,000000,1.02942,1.02942,0.997269,1.02942,79462.950764482,0
GORO.US,D,20061106,000000,1.04535,1.22027,1.02107,1.14879,298925.07865628,0
GORO.US,D,20061107,000000,1.14879,1.18871,1.06904,1.10887,82098.188709813,0
GORO.US,D,20061108,000000,1.09343,1.18871,1.09343,1.14879,31717.443197665,0
GORO.US,D,20061109,000000,1.14879,1.19666,1.14879,1.18093,105409.51781325,0
GORO.US,D,20061110,000000,1.18871,1.42841,1.18871,1.29991,182016.52564044,0
GORO.US,D,20061113,000000,1.32429,1.49999,1.15705,1.45987,367503.30673032,0
GORO.US,D,20061114,000000,1.49212,1.49212,1.26067,1.34818,436543.28626217,0
GORO.US,D,20061115,000000,1.34042,1.42035,1.31652,1.33186,164913.41437503,0
GORO.US,D,20061116,000000,1.35605,1.35605,1.29233,1.29233,131541.1922746,0
GORO.US,D,20061117,000000,1.29991,1.32429,1.28437,1.32429,94093.555875863,0
GORO.US,D,20061120,000000,1.34042,1.34042,1.23688,1.26067,112660.23618927,0
GORO.US,D,20061121,000000,1.26067,1.2769,1.22027,1.23688,197390.61162332,0
GORO.US,D,20061122,000000,1.23688,1.2769,1.22902,1.2769,103019.39462856,0
GORO.US,D,20061124,000000,1.26067,1.34042,1.26067,1.29991,34841.893590586,0
GORO.US,D,20061127,000000,1.29991,1.29991,1.25291,1.2769,118068.01702883,0
GORO.US,D,20061128,000000,1.2769,1.29991,1.2769,1.29991,36127.474741839,0
GORO.US,D,20061129,000000,1.2769,1.29233,1.23688,1.29233,50632.97978866,0
GORO.US,D,20061130,000000,1.26933,1.2769,1.25291,1.2769,37316.43389201,0
GORO.US,D,20061201,000000,1.26933,1.29233,1.24494,1.26067,155160.6947078,0
GORO.US,D,20061204,000000,1.26067,1.26067,1.23688,1.24494,38728.132181519,0
GORO.US,D,20061205,000000,1.23688,1.29233,1.23688,1.2769,57403.639380349,0
GORO.US,D,20061206,000000,1.2769,1.29233,1.23688,1.26067,38003.975710243,0
GORO.US,D,20061207,000000,1.22027,1.28437,1.22027,1.26067,169182.07267552,0
GORO.US,D,20061208,000000,1.2125,1.24494,1.2125,1.24494,69401.040693791,0
GORO.US,D,20061211,000000,1.22902,1.29233,1.22027,1.29233,101557.85972796,0
GORO.US,D,20061212,000000,1.29991,1.41228,1.29991,1.36469,94587.85369193,0
GORO.US,D,20061213,000000,1.36469,1.36469,1.36469,1.36469,9791.3684676582,0
GORO.US,D,20061214,000000,1.34042,1.39636,1.26933,1.39636,48377.110331792,0
GORO.US,D,20061215,000000,1.34818,1.34818,1.29991,1.32429,26992.118807851,0
GORO.US,D,20061218,000000,1.29991,1.33186,1.29991,1.32429,18051.023949724,0
GORO.US,D,20061219,000000,1.33186,1.38042,1.33186,1.38042,34278.434763216,0
GORO.US,D,20061220,000000,1.38831,1.42035,1.34818,1.34818,138999.39368453,0
GORO.US,D,20061221,000000,1.34818,1.38042,1.34818,1.38042,23563.563379942,0
GORO.US,D,20061222,000000,1.38042,1.39636,1.38042,1.38831,30829.537861396,0
GORO.US,D,20061226,000000,1.38831,1.42035,1.38831,1.41228,82107.342373073,0
GORO.US,D,20061227,000000,1.41228,1.42035,1.41228,1.42035,186947.29891678,0
GORO.US,D,20061228,000000,1.42035,1.42035,1.40472,1.42035,32966.409695877,0
GORO.US,D,20061229,000000,1.42035,1.42035,1.39636,1.42035,45942.235904497,0
GORO.US,D,20070103,000000,1.41228,1.42035,1.29233,1.35605,77398.291162389,0
GORO.US,D,20070104,000000,1.35605,1.35605,1.35605,1.35605,6273.3105545357,0
