<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
JWSMF.US,D,20210330,000000,9.9,9.95,9.74,9.89,127936,0
JWSMF.US,D,20210331,000000,9.99,9.99,9.85,9.88,21833,0
JWSMF.US,D,20210401,000000,9.87,9.94,9.87,9.9,28806,0
JWSMF.US,D,20210405,000000,9.91,9.99,9.87,9.99,51901,0
JWSMF.US,D,20210406,000000,9.95,9.96,9.93,9.95,152548,0
JWSMF.US,D,20210407,000000,9.94,9.9725,9.93,9.93,181706,0
JWSMF.US,D,20210408,000000,9.95,10.1,9.95,10.01,81161,0
JWSMF.US,D,20210409,000000,10.03,10.03,10,10.02,264928,0
JWSMF.US,D,20210412,000000,10.02,10.03,9.93,9.93,280917,0
JWSMF.US,D,20210413,000000,9.95,9.9917,9.95,9.97,157153,0
JWSMF.US,D,20210414,000000,9.97,10.02,9.95,9.97,609436,0
JWSMF.US,D,20210415,000000,9.99,10,9.95,9.96,170426,0
JWSMF.US,D,20210416,000000,9.95,10,9.93,9.93,519752,0
JWSMF.US,D,20210419,000000,9.95,9.9663,9.92,9.92,130082,0
JWSMF.US,D,20210420,000000,9.92,9.92,9.87,9.9,168266,0
JWSMF.US,D,20210421,000000,9.9,9.93,9.87,9.89,968793,0
JWSMF.US,D,20210422,000000,9.9,9.9,9.87,9.88,35008,0
JWSMF.US,D,20210423,000000,9.91,9.91,9.85,9.87,1061838,0
JWSMF.US,D,20210426,000000,9.89,9.93,9.85,9.9,265596,0
JWSMF.US,D,20210427,000000,9.97,9.97,9.89,9.95,203684,0
JWSMF.US,D,20210428,000000,9.97,9.98,9.92,9.92,4505855,0
JWSMF.US,D,20210429,000000,9.94,10,9.9,9.93,473287,0
JWSMF.US,D,20210430,000000,9.92,10,9.9,10,95588,0
JWSMF.US,D,20210503,000000,9.94,9.96,9.91,9.92,204835,0
JWSMF.US,D,20210504,000000,9.91,9.94,9.87,9.94,164739,0
JWSMF.US,D,20210505,000000,9.932,9.95,9.91,9.92,84553,0
JWSMF.US,D,20210506,000000,9.92,9.96,9.9,9.9,53384,0
JWSMF.US,D,20210507,000000,9.9,9.92,9.87,9.89,400605,0
JWSMF.US,D,20210510,000000,9.87,9.905,9.87,9.89,35623,0
JWSMF.US,D,20210511,000000,9.86,9.91,9.86,9.89,228773,0
JWSMF.US,D,20210512,000000,9.89,9.89,9.8,9.8,492491,0
JWSMF.US,D,20210513,000000,9.8,9.81,9.79,9.81,271082,0
JWSMF.US,D,20210514,000000,9.8172,9.82,9.8,9.8,253326,0
JWSMF.US,D,20210517,000000,9.81,9.81,9.76,9.77,65991,0
JWSMF.US,D,20210518,000000,9.76,9.8,9.76,9.78,71880,0
JWSMF.US,D,20210519,000000,9.83,9.83,9.78,9.83,38932,0
JWSMF.US,D,20210520,000000,9.8,9.8171,9.78,9.78,22297,0
JWSMF.US,D,20210521,000000,9.78,9.81,9.77,9.81,400594,0
JWSMF.US,D,20210524,000000,9.79,9.81,9.75,9.76,435110,0
JWSMF.US,D,20210525,000000,9.76,9.78,9.75,9.76,403286,0
JWSMF.US,D,20210526,000000,9.76,9.78,9.75,9.75,307929,0
JWSMF.US,D,20210527,000000,9.78,9.78,9.73,9.75,774009,0
JWSMF.US,D,20210528,000000,9.75,9.78,9.75,9.77,17867,0
JWSMF.US,D,20210601,000000,9.7621,9.81,9.75,9.8,45848,0
JWSMF.US,D,20210602,000000,9.8,9.86,9.8,9.83,662723,0
JWSMF.US,D,20210603,000000,9.85,9.86,9.85,9.86,790234,0
JWSMF.US,D,20210604,000000,9.86,9.865,9.79,9.84,400859,0
JWSMF.US,D,20210607,000000,9.83,9.95,9.805,9.88,263021,0
JWSMF.US,D,20210608,000000,9.89,9.91,9.84,9.87,94100,0
JWSMF.US,D,20210609,000000,9.87,9.88,9.845,9.85,57568,0
JWSMF.US,D,20210610,000000,9.85,9.87,9.85,9.87,98590,0
JWSMF.US,D,20210611,000000,9.85,9.89,9.85,9.87,129315,0
JWSMF.US,D,20210614,000000,9.8681,9.87,9.84,9.86,179413,0
JWSMF.US,D,20210615,000000,9.86,9.9,9.84,9.85,44502,0
JWSMF.US,D,20210616,000000,9.85,9.86,9.82,9.86,13025,0
JWSMF.US,D,20210617,000000,9.85,9.86,9.83,9.85,299217,0
JWSMF.US,D,20210618,000000,9.85,9.85,9.82,9.84,12344,0
JWSMF.US,D,20210621,000000,9.81,9.85,9.79,9.82,267247,0
JWSMF.US,D,20210622,000000,9.8,9.82,9.78,9.8,264590,0
JWSMF.US,D,20210623,000000,9.79,9.81,9.76,9.77,143927,0
JWSMF.US,D,20210624,000000,9.76,9.82,9.76,9.8,187726,0
JWSMF.US,D,20210625,000000,9.8101,9.815,9.78,9.8,201271,0
JWSMF.US,D,20210628,000000,9.79,9.815,9.77,9.79,740720,0
JWSMF.US,D,20210629,000000,9.79,9.7901,9.76,9.76,1176724,0
JWSMF.US,D,20210630,000000,9.7675,9.78,9.76,9.76,169418,0
JWSMF.US,D,20210701,000000,9.76,9.81,9.75,9.78,133618,0
JWSMF.US,D,20210702,000000,9.7899,9.79,9.77,9.78,181404,0
JWSMF.US,D,20210706,000000,9.7784,9.805,9.7784,9.8,72566,0
JWSMF.US,D,20210707,000000,9.79,9.82,9.78,9.82,99330,0
JWSMF.US,D,20210708,000000,9.81,9.81,9.75,9.81,43860,0
JWSMF.US,D,20210709,000000,9.795,9.81,9.76,9.79,933900,0
JWSMF.US,D,20210712,000000,9.79,9.81,9.77,9.785,58432,0
JWSMF.US,D,20210713,000000,9.78,9.8,9.78,9.79,71518,0
JWSMF.US,D,20210714,000000,9.77,9.82,9.77,9.8,69206,0
JWSMF.US,D,20210715,000000,9.78,9.79,9.78,9.79,12563,0
JWSMF.US,D,20210716,000000,9.78,9.79,9.76,9.79,31287,0
JWSMF.US,D,20210719,000000,9.77,9.82,9.76,9.78,42625,0
JWSMF.US,D,20210720,000000,9.77,9.8,9.77,9.79,15312,0
JWSMF.US,D,20210721,000000,9.7941,9.7941,9.77,9.77,29781,0
JWSMF.US,D,20210722,000000,9.8,9.8,9.75,9.75,10658,0
JWSMF.US,D,20210723,000000,9.7771,9.78,9.76,9.78,6468,0
JWSMF.US,D,20210726,000000,9.75,9.8,9.72,9.75,798677,0
JWSMF.US,D,20210727,000000,9.74,9.76,9.73,9.74,18405,0
JWSMF.US,D,20210728,000000,9.74,9.78,9.73,9.73,289284,0
JWSMF.US,D,20210729,000000,9.73,9.75,9.73,9.74,41081,0
JWSMF.US,D,20210730,000000,9.74,9.77,9.71,9.77,155195,0
JWSMF.US,D,20210802,000000,9.73,9.74,9.7,9.72,120403,0
JWSMF.US,D,20210803,000000,9.735,9.74,9.72,9.73,390707,0
JWSMF.US,D,20210804,000000,9.75,9.75,9.69,9.69,173155,0
JWSMF.US,D,20210805,000000,9.73,9.73,9.7,9.72,435083,0
JWSMF.US,D,20210806,000000,9.72,9.72,9.65,9.72,85425,0
JWSMF.US,D,20210809,000000,9.72,9.73,9.695,9.72,332072,0
JWSMF.US,D,20210810,000000,9.7,9.73,9.7,9.72,316535,0
JWSMF.US,D,20210811,000000,9.7,9.72,9.7,9.71,212667,0
JWSMF.US,D,20210812,000000,9.71,9.74,9.71,9.73,11754,0
JWSMF.US,D,20210813,000000,9.728,9.73,9.71,9.72,15862,0
JWSMF.US,D,20210816,000000,9.7,9.7202,9.69,9.7,208328,0
JWSMF.US,D,20210817,000000,9.72,9.72,9.69,9.72,511927,0
JWSMF.US,D,20210818,000000,9.68,9.71,9.65,9.67,244447,0
JWSMF.US,D,20210819,000000,9.67,9.7,9.64,9.69,822216,0
JWSMF.US,D,20210820,000000,9.67,9.76,9.66,9.74,200969,0
JWSMF.US,D,20210823,000000,9.74,9.74,9.66,9.69,126838,0
JWSMF.US,D,20210824,000000,9.69,9.74,9.68,9.7,75303,0
JWSMF.US,D,20210825,000000,9.7,9.71,9.67,9.69,122445,0
JWSMF.US,D,20210826,000000,9.69,9.73,9.67,9.71,574106,0
JWSMF.US,D,20210827,000000,9.72,9.72,9.68,9.72,148680,0
JWSMF.US,D,20210830,000000,9.72,9.72,9.69,9.71,70241,0
JWSMF.US,D,20210831,000000,9.72,9.73,9.72,9.72,535461,0
JWSMF.US,D,20210901,000000,9.73,9.73,9.7101,9.73,92012,0
JWSMF.US,D,20210902,000000,9.73,9.745,9.71,9.74,221858,0
JWSMF.US,D,20210903,000000,9.72,9.75,9.72,9.75,202310,0
JWSMF.US,D,20210907,000000,9.73,9.75,9.72,9.75,1365659,0
JWSMF.US,D,20210908,000000,9.75,9.76,9.74,9.75,1411838,0
JWSMF.US,D,20210909,000000,9.75,9.76,9.705,9.75,78624,0
JWSMF.US,D,20210910,000000,9.75,9.76,9.74,9.75,312090,0
JWSMF.US,D,20210913,000000,9.75,9.77,9.75,9.76,48904,0
