<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TOVX.US,D,20050309,000000,31.5,31.5,31.5,31.5,0.2,0
TOVX.US,D,20050330,000000,31.5,31.5,31.5,31.5,0,0
TOVX.US,D,20050331,000000,31.5,31.5,31.5,31.5,0,0
TOVX.US,D,20050401,000000,31.5,31.5,31.5,31.5,0,0
TOVX.US,D,20050404,000000,31.5,31.5,31.5,31.5,0,0
TOVX.US,D,20050407,000000,31.5,31.5,31.5,31.5,0,0
TOVX.US,D,20050418,000000,31.5,31.5,31.5,31.5,0,0
TOVX.US,D,20050419,000000,31.5,31.5,31.5,31.5,0,0
TOVX.US,D,20050420,000000,31.5,31.5,31.5,31.5,0,0
TOVX.US,D,20050425,000000,31.5,31.5,31.5,31.5,0,0
TOVX.US,D,20050427,000000,31.5,31.5,31.5,31.5,0,0
TOVX.US,D,20050505,000000,31.5,31.5,31.5,31.5,0,0
TOVX.US,D,20050516,000000,31.5,31.5,31.5,31.5,0,0
TOVX.US,D,20050518,000000,31.5,31.5,31.5,31.5,0,0
TOVX.US,D,20050519,000000,31.5,31.5,31.5,31.5,0,0
TOVX.US,D,20050520,000000,31.5,31.5,31.5,31.5,0,0
TOVX.US,D,20050603,000000,31.5,31.5,31.5,31.5,0,0
TOVX.US,D,20050615,000000,31.5,31.5,31.5,31.5,0,0
TOVX.US,D,20050620,000000,31.5,31.5,31.5,31.5,0,0
TOVX.US,D,20050701,000000,31.5,31.5,31.5,31.5,0.4,0
TOVX.US,D,20050722,000000,1312.5,1312.5,1312.5,1312.5,0.2,0
TOVX.US,D,20050725,000000,31.5,31.5,31.5,31.5,0,0
TOVX.US,D,20050803,000000,31.5,1312.5,31.5,1312.5,0.1,0
TOVX.US,D,20050808,000000,1312.5,1312.5,1312.5,1312.5,0,0
TOVX.US,D,20050809,000000,1312.5,1312.5,1312.5,1312.5,0,0
TOVX.US,D,20050815,000000,1312.5,1312.5,1312.5,1312.5,0,0
TOVX.US,D,20050816,000000,1312.5,1312.5,1312.5,1312.5,0.30000000000000004,0
TOVX.US,D,20050817,000000,1312.5,1312.5,1312.5,1312.5,0,0
TOVX.US,D,20050818,000000,1312.5,1312.5,1312.5,1312.5,0,0
TOVX.US,D,20050819,000000,1312.5,1312.5,1312.5,1312.5,0,0
TOVX.US,D,20050822,000000,1312.5,1312.5,1312.5,1312.5,0,0
TOVX.US,D,20050823,000000,1312.5,1312.5,1312.5,1312.5,0,0
TOVX.US,D,20050825,000000,1312.5,1312.5,1312.5,1312.5,0,0
TOVX.US,D,20050826,000000,1312.5,1312.5,1312.5,1312.5,0,0
TOVX.US,D,20050829,000000,1312.5,1312.5,1312.5,1312.5,0.2,0
TOVX.US,D,20050831,000000,1312.5,1312.5,1312.5,1312.5,0,0
TOVX.US,D,20050902,000000,1312.5,1312.5,1312.5,1312.5,0.1,0
TOVX.US,D,20050906,000000,1312.5,1312.5,1312.5,1312.5,0,0
TOVX.US,D,20050908,000000,1312.5,21000,1312.5,1708,0.5,0
TOVX.US,D,20050909,000000,21000,21000,1312.5,1312.5,0,0
TOVX.US,D,20050912,000000,21000,26250,21000,21000,0,0
TOVX.US,D,20050913,000000,21000,21000,262.5,21000,0,0
TOVX.US,D,20050915,000000,21000,21000,1312.5,21000,0,0
TOVX.US,D,20050916,000000,21000,21000,1312.5,21000,0,0
TOVX.US,D,20050919,000000,21000,21000,14437.5,21000,0,0
TOVX.US,D,20050920,000000,1312.5,18375,133,1312.5,1.1,0
TOVX.US,D,20050921,000000,1312.5,1312.5,1312.5,1312.5,0,0
TOVX.US,D,20050922,000000,13125,13125,11812.5,11812.5,0,0
TOVX.US,D,20050923,000000,21000,21000,21000,21000,0,0
TOVX.US,D,20050927,000000,1312.5,1312.5,1312.5,1312.5,0,0
TOVX.US,D,20050929,000000,1312.5,1312.5,1312.5,1312.5,0,0
TOVX.US,D,20050930,000000,1312.5,21000,1312.5,21000,0,0
TOVX.US,D,20051003,000000,6300,6300,6300,6300,0.5,0
